Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Joel Embiid,29,PHI,C,6,6,41.3,9.8,22.2,.444,2.2,6.5,.333,7.7,15.7,.489,.492,11.2,13.0,.859,3.2,7.7,10.8,5.7,1.2,1.5,4.2,3.3,33.0,
Jalen Brunson,27,NYK,PG,13,13,39.8,11.6,26.2,.444,2.0,6.5,.310,9.6,19.7,.488,.482,7.2,9.2,.775,0.6,2.7,3.3,7.5,0.8,0.2,2.7,2.0,32.4,
Damian Lillard,33,MIL,PG,4,4,39.0,8.5,20.3,.420,5.0,12.0,.417,3.5,8.3,.424,.543,9.3,9.5,.974,0.5,2.8,3.3,5.0,1.0,0.0,2.3,2.0,31.3,
Shai Gilgeous-Alexander,25,OKC,PG,10,10,39.9,11.1,22.4,.496,1.6,3.7,.432,9.5,18.7,.508,.531,6.4,8.1,.790,0.8,6.4,7.2,6.4,1.3,1.7,2.2,3.1,30.2,
Tyrese Maxey,23,PHI,PG,6,6,44.5,11.0,23.0,.478,3.7,9.2,.400,7.3,13.8,.530,.558,4.2,4.7,.893,0.2,5.0,5.2,6.8,0.8,0.3,2.2,2.7,29.8,
Donovan Mitchell,27,CLE,SG,10,10,38.2,10.7,22.5,.476,2.9,8.2,.354,7.8,14.3,.545,.540,5.3,6.5,.815,0.6,4.8,5.4,4.7,1.3,0.3,2.8,2.9,29.6,
Luka Dončić,24,DAL,PG,22,22,40.9,10.2,22.9,.446,3.1,9.6,.322,7.1,13.3,.536,.514,5.3,7.0,.765,0.7,8.7,9.5,8.1,1.9,0.4,4.1,2.5,28.9,
Nikola Jokić,28,DEN,C,12,12,40.2,11.1,20.3,.545,1.2,4.4,.264,9.9,15.9,.623,.574,5.3,5.9,.901,3.6,9.8,13.4,8.7,1.4,0.7,3.3,2.7,28.7,
Anthony Davis,30,LAL,C,5,5,41.6,11.8,18.6,.634,0.0,1.0,.000,11.8,17.6,.670,.634,4.2,5.2,.808,3.0,12.6,15.6,4.0,0.4,1.6,2.2,3.8,27.8,
LeBron James,39,LAL,PF,5,5,40.8,11.2,19.8,.566,2.0,5.2,.385,9.2,14.6,.630,.616,3.4,4.6,.739,0.8,6.0,6.8,8.8,2.4,1.0,3.8,2.2,27.8,
Anthony Edwards,22,MIN,SG,16,16,40.6,9.8,20.3,.481,2.9,7.2,.400,6.9,13.1,.526,.552,5.2,6.4,.814,1.1,5.9,7.0,6.5,1.5,0.6,3.3,2.3,27.6,
Devin Booker,27,PHO,PG,4,4,41.5,8.0,16.3,.492,1.8,5.0,.350,6.3,11.3,.556,.546,9.8,10.3,.951,0.3,3.0,3.3,6.0,1.8,0.3,2.8,4.5,27.5,
Paolo Banchero,21,ORL,PF,7,7,37.4,9.7,21.3,.456,2.3,5.7,.400,7.4,15.6,.477,.510,5.3,7.0,.755,2.0,6.6,8.6,4.0,1.1,0.6,4.6,2.0,27.0,
Kevin Durant,35,PHO,PF,4,4,42.0,9.3,16.8,.552,1.3,3.0,.417,8.0,13.8,.582,.590,7.0,8.5,.824,0.3,6.3,6.5,3.3,0.5,1.5,2.5,2.0,26.8,
Jayson Tatum,25,BOS,PF,19,19,40.4,8.4,19.6,.427,2.1,7.3,.283,6.3,12.3,.513,.480,6.2,7.2,.861,0.9,8.8,9.7,6.3,1.1,0.7,2.6,2.8,25.0,
Khris Middleton,32,MIL,SF,6,6,38.3,9.2,19.0,.482,1.8,5.2,.355,7.3,13.8,.530,.531,4.5,5.0,.900,2.0,7.2,9.2,4.7,0.5,0.2,2.3,4.2,24.7,
Jaylen Brown,27,BOS,SF,19,19,37.2,9.2,17.8,.516,1.9,5.8,.327,7.3,12.1,.607,.569,3.6,5.4,.660,1.2,4.8,5.9,3.3,1.2,0.6,2.7,2.7,23.9,Finals MVP-1
Bam Adebayo,26,MIA,C,5,5,38.4,9.6,19.4,.495,0.4,2.0,.200,9.2,17.4,.529,.505,3.0,4.2,.714,2.2,7.2,9.4,3.8,0.4,0.0,1.6,3.0,22.6,
Kyrie Irving,31,DAL,SG,22,22,40.0,8.5,18.1,.467,2.4,6.2,.390,6.0,11.9,.508,.534,2.8,3.3,.849,1.0,2.7,3.7,5.1,1.0,0.3,2.3,2.8,22.1,
Pascal Siakam,29,IND,PF,17,17,35.5,9.2,17.1,.541,0.8,2.8,.298,8.4,14.3,.588,.566,2.3,3.7,.619,2.5,5.1,7.5,3.8,0.8,0.4,1.1,2.8,21.6,
